id;nombre;marca;presentacion;nombre_1;nombre_2;nombre_3;Clasificaci�n
7,79E+12;Desodorante Antitranspirante en Aerosol Nivea Silver Sensitive 150 Cc;NIVEA;150.0 cc;Desodorante;Desodorante   Antitranspirante;Desodorante   Antitranspirante   en;Perfumería e higiene personal
7,79E+12;Aceitunas Verdes Descarozadas en Salmuera Nucete 190 Gr;NUCETE;190.0 gr;Aceitunas;Aceitunas   Verdes;Aceitunas   Verdes   Descarozadas;Almacen no incluidos en otra categoría
7,79E+12;Aceitunas Verdes Descarozadas en Salmuera Nucete 150 Gr;NUCETE;150.0 gr;Aceitunas;Aceitunas   Verdes;Aceitunas   Verdes   Descarozadas;Almacen no incluidos en otra categoría
7,79E+12;Aceitunas Verdes Rellenas con Morron en Salmuera Nucete 300 Gr;NUCETE;300.0 gr;Aceitunas;Aceitunas   Verdes;Aceitunas   Verdes   Rellenas;Almacen no incluidos en otra categoría
7,79E+12;Cuadritos de Avena Quaker 300 Gr;QUAKER;300.0 gr;Cuadritos;Cuadritos   de;Cuadritos   de   Avena;Almacen no incluidos en otra categoría
7,79E+12;Polenta Instantanea Magica Quaker 500 Gr;QUAKER;500.0 gr;Polenta;Polenta   Instantanea;Polenta   Instantanea   Magica;Almacen no incluidos en otra categoría
7,79E+12;Bebida Isotonica Manzana Gatorade 500 Ml;GATORADE;500.0 ml;Bebida;Bebida   Isotonica;Bebida   Isotonica   Manzana;Bebidas sin alcohol (no agua)
7,79E+12;Bebida Isotonica Naranja Gatorade 500 Ml;GATORADE;500.0 ml;Bebida;Bebida   Isotonica;Bebida   Isotonica   Naranja;Bebidas sin alcohol (no agua)
7,79E+12;Bebida Isotonica Cool Blue Gatorade 500 Ml;GATORADE;500.0 ml;Bebida;Bebida   Isotonica;Bebida   Isotonica   Cool;Bebidas sin alcohol (no agua)
7,79E+12;Bebida Isotonica Manzana Gatorade 750 Cc;GATORADE;750.0 cc;Bebida;Bebida   Isotonica;Bebida   Isotonica   Manzana;Bebidas sin alcohol (no agua)
7,79E+12;Cuadritos de Avena Rellenos con Miel y Nuez Quaker 200 Gr;QUAKER;200.0 gr;Cuadritos;Cuadritos   de;Cuadritos   de   Avena;Almacen no incluidos en otra categoría
7,79E+12;Bebida Isotonica Naranja Gatorade 1.25 Lt;GATORADE;1.25 lt;Bebida;Bebida   Isotonica;Bebida   Isotonica   Naranja;Bebidas sin alcohol (no agua)
7,79E+12;Bebida Isotonica Manzana Gatorade 1.25 Lt;GATORADE;1.25 lt;Bebida;Bebida   Isotonica;Bebida   Isotonica   Manzana;Bebidas sin alcohol (no agua)
7,79E+12;Bebida Isotonica Cool Blue Gatorade 1.25 Lt;GATORADE;1.25 lt;Bebida;Bebida   Isotonica;Bebida   Isotonica   Cool;Bebidas sin alcohol (no agua)
7,79E+12;Harina de Trigo 000 Can~uelas 1 Kg;CA�UELAS;1.0 kg;Harina;Harina   de;Harina   de   Trigo;Almacen no incluidos en otra categoría
7,79E+12;Aceite de Girasol Can~uelas 900 Cc;CA�UELAS;900.0 cc;Aceite;Aceite   de;Aceite   de   Girasol;Almacen no incluidos en otra categoría
7,79E+12;Aceite de Girasol Can~uelas 1.5 Lt;CA�UELAS;1.5 lt;Aceite;Aceite   de;Aceite   de   Girasol;Almacen no incluidos en otra categoría
7,79E+12;Harina con Levadura Pizza Pureza 1 Kg;PUREZA;1.0 kg;Harina;Harina   con;Harina   con   Levadura;Almacen no incluidos en otra categoría
7,79E+12;Harina de Trigo 0000 Ultra Refinada Pureza 1 Kg;PUREZA;1.0 kg;Harina;Harina   de;Harina   de   Trigo;Almacen no incluidos en otra categoría
7,79E+12;Harina Leudante Ultrarefinada Pureza 1 Kg;PUREZA;1.0 kg;Harina;Harina   Leudante;Harina   Leudante   Ultrarefinada;Almacen no incluidos en otra categoría
7,79E+12;Harina con Levadura para Pan Casero Pureza 1 Kg;PUREZA;1.0 kg;Harina;Harina   con;Harina   con   Levadura;Almacen no incluidos en otra categoría
7,79E+12;Premezcla para Pizza con Levadura Pureza 550 Gr;PUREZA;550.0 gr;Premezcla;Premezcla   para;Premezcla   para   Pizza;Almacen no incluidos en otra categoría
7,79E+12;Bizcochitos Agridulces 9 de Oro 200 Gr;9 DE ORO;200.0 gr;Bizcochitos;Bizcochitos   Agridulces;Bizcochitos   Agridulces   9;Panificados, pastas y arroz
7,79E+12;Bizcochitos Clasicas 9 de Oro 200 Gr;9 DE ORO;200.0 gr;Bizcochitos;Bizcochitos   Clasicas;Bizcochitos   Clasicas   9;Panificados, pastas y arroz
7,79E+12;Bizcochos Azucarados 9 de Oro 210 Gr;9 DE ORO;210.0 gr;Bizcochos;Bizcochos   Azucarados;Bizcochos   Azucarados   9;Panificados, pastas y arroz
7,79E+12;Bizcochitos Light 9 de Oro 170 Gr;9 DE ORO;170.0 gr;Bizcochitos;Bizcochitos   Light;Bizcochitos   Light   9;Panificados, pastas y arroz
7,79E+12;Galletitas Sconcitos 9 de Oro 200 Gr;9 DE ORO;200.0 gr;Galletitas;Galletitas   Sconcitos;Galletitas   Sconcitos   9;Panificados, pastas y arroz
7,79E+12;Te Amarillo en Saquitos Ensobrados Cachamai 20 Un;CACHAMAI;20.0 un;Te;Te   Amarillo;Te   Amarillo   en;Almacen no incluidos en otra categoría
7,79E+12;Vino Tinto Cosecha Tardia Bodega Norton 750 Cc;NORTON;750.0 cc;Vino;Vino   Tinto;Vino   Tinto   Cosecha;"Bebidas alcohólicas (no bebidas ""blancas"")"
7,79E+12;Vino Rosado Cosecha Tardia Norton 750 Cc;NORTON;750.0 cc;Vino;Vino   Rosado;Vino   Rosado   Cosecha;"Bebidas alcohólicas (no bebidas ""blancas"")"
